 Date-Time : 2021-10-26 15:20:45,689 Directory: /home/zadon/Downloads Status: fail
 Date-Time : 2021-10-26 15:23:21,166 Directory: /home/zadon/Downlo Status: fail
 Date-Time : 2021-10-26 15:24:08,300 Directory: /home/zadon/Download Status: fail
 Date-Time : 2021-10-26 15:24:18,634 Directory: /home/zadon/DownloadsArchive: /home/zadon/te/Downloads_2021-10-26_15:24:18.zip Status: success
 Date-Time : 2021-10-26 15:30:38,748 Directory: /home/zadon/Downloads Status: fail
 Date-Time : 2021-10-26 15:32:46,234 Directory: /home/zadon/Downloads Status: fail
 Date-Time : 2021-10-26 15:33:13,529 Directory: /home/zadon/Downloads Status: fail
 Date-Time : 2021-10-26 15:33:37,589 Directory: /home/zadon/Downloads Status: fail
 Date-Time : 2021-10-26 15:34:07,414 Directory: /home/zadon/DownloadsArchive: /home/zadon/test/Downloads_2021-10-26_15:34:07.zip Status: success
 Date-Time : 2021-10-26 15:34:52,842 Directory: /home/zadon/DownloadsArchive: /home/zadon/test/Downloads_2021-10-26_15:34:52.zip Status: success
